COLETIVO Paço Imperial P121b  Coleção Bibliográfica
INDIVIDUAL MEIRA, Paulo M514m  2011 Coleção Bibliográfica 
INDIVIDUAL ROCHA, Paulo Mendes da R672p  [2012] Coleção Bibliográfica
INDIVIDUAL MONTEIRO, Paulo M775p  1993 Coleção Bibliográfica 
INDIVIDUAL WHITAKER, Paulo W578p  1999 Coleção Bibliográfica 
INDIVIDUAL SCHERPENBERG, Katie van S326p  1999 Coleção Bibliográfica 
COLETIVO Museu da Casa Brasileira M986p  2004 Coleção Bibliográfica 
INDIVIDUAL PIZARRO, Luiz P695e  2004 Coleção Bibliográfica 
COLETIVO Centro Cultural Light P745  1998 Coleção Bibliográfica 
COLETIVO Oi Futuro O39p  2008 Coleção Bibliográfica 
COLETIVO Fundação Nacional de Artes F981p  2008 Coleção Bibliográfica 
COLETIVO 7(81) C397p  2003 Coleção Bibliográfica 
INDIVIDUAL OURSLER, Tony O93p  2011 Coleção Bibliográfica 
COLETIVO Galeria de Arte Espaço Universitário UFES G154p  2005 Coleção Bibliográfica 
INDIVIDUAL BAILEY, Radcliffe B155m  2001 Coleção Bibliográfica 
COLETIVO Santander Cultural S232r  2009 Coleção Bibliográfica 
INDIVIDUAL KATZ, Renina K19r  2007 Coleção Bibliográfica 
COLETIVO  Serviço Social do Comércio. SESC  S491m  1999  Coleção Bibliográfica 
INDIVIDUAL VENTURA, Ricardo V468r  2000 Coleção Bibliográfica 
INDIVIDUAL WRIGHT, Richard W952r  2011 Coleção Bibliográfica 
COLETIVO Instituto Cultural Brasil Argentina da Embaixada da República Argentina I59r  1990 Coleção Bibliográfica 
COLETIVO Museu de Arte do Rio M986r  Coleção Bibliográfica 
INDIVIDUAL BURURA, Roberto B974r  2010 Coleção Bibliográfica 
INDIVIDUAL MESQUITA, Rodolfo M582r  [2012] Coleção Bibliográfica
INDIVIDUAL BALLEN, Roger B191r  2012 Coleção Bibliográfica
INDIVIDUAL PALAZYAN, Rosana P155r  2002 Coleção Bibliográfica 
INDIVIDUAL RENNO, Rosangela R788p  2001 Coleção Bibliográfica 
INDIVIDUAL LUDOLF, Rubem L946r  2010 Coleção Bibliográfica
INDIVIDUAL GERCHMAN, Rubens G365r  2001 Coleção Bibliográfica 
INDIVIDUAL CEMIN, Saint Clair C394s  1997 Coleção Bibliográfica 
COLETIVO Salão Nacional de Artes Plásticas S161d  1993 Coleção Bibliográfica 
INDIVIDUAL DARÉ, Salvio D217s  1991 Coleção Bibliográfica 
COLETIVO Fundação Nacional de Artes F981S  1999 Coleção Bibliográfica 
INDIVIDUAL ADOLFO, Celso A239s  2011 Coleção Bibliográfica 
INDIVIDUAL GOLDFINGER, Salete G618s  2004 Coleção Bibliográfica 
INDIVIDUAL ESMERALDO, Sérvulo E76s  2010 Coleção Bibliográfica 
INDIVIDUAL LEME, Shirley Paes L551s  1992 Coleção Bibliográfica 
INDIVIDUAL  RAMOS, Nuno R175s  2012 Coleção Bibliográfica
COLETIVO Sociedade dos Amigos do Sobrado Dr. José Lourenço S678s  2012 Coleção Bibliográfica 
INDIVIDUAL TUDELA, Pedro T899s  1998 Coleção Bibliográfica 
